# registry-impl 기준선 — 명부와 구현이 아직 안 맞는 자리. 여기 없는 새 것만 막는다.
# 이으면 그 줄을 지운다. 지운 줄이 다시 나타나면 그때부터 빨강이다.
# 갱신: node scripts/audit-registry-impl.mjs --write-baseline
NO-REGISTER	caseconv	-
NO-REGISTER	charcount	-
NO-REGISTER	checklist	-
NO-REGISTER	hangulkey	-
NO-REGISTER	img2pdf	-
NO-REGISTER	jamo	-
NO-REGISTER	linebreak	-
NO-REGISTER	listdiff	-
NO-REGISTER	localai	-
NO-REGISTER	lorem	-
NO-REGISTER	meong	-
NO-REGISTER	pdfcrop	-
NO-REGISTER	pdfpagenum	-
NO-REGISTER	perf	-
NO-REGISTER	replace	-
NO-REGISTER	slug	-
NO-REGISTER	text2img	-
NO-REGISTER	text2pdf	-
NO-REGISTER	textclean	-
NO-REGISTER	textdiff	-
NO-REGISTER	textredact	-
NO-REGISTER	wordfreq	-
NO-REGISTER	ziptool	-
NOT-IN-META	agent-team	-
NOT-IN-META	bon	-
NOT-IN-META	companion	-
NOT-IN-META	foundry	-
NOT-IN-META	packwell	-
NOT-IN-META	task-launcher	-
